productionvolume,productioncost,supplierquality,defectrate,qualityscore,maintenancehours,stockoutrate,safetyincidents,energyefficiency,defectstatus
369,16784.77427120348,85.65530914120197,3.2664692892031804,72.23210329797915,6,0.0275754489378082,3,0.2485429706091288,1
599,17042.164022367506,88.30214353709866,0.9616305214895936,93.19831675821274,3,0.0674257710127405,6,0.4742858184114134,0
944,13163.860055228764,95.45045183525087,1.6737582326178937,92.21082388829004,17,0.0588111771114934,2,0.229822005696101,1
904,10029.185751174437,85.74805067690966,4.945921899891174,72.29490876816179,23,0.0644012158232911,9,0.3079457715146469,1
744,16888.92674432575,91.87150508828596,2.013659203476694,82.94666390196039,6,0.0865318808127809,0,0.21760370553094,0
956,7271.48471554945,80.45137166404754,3.7297501463457112,71.28714582596933,13,0.0931319199578269,4,0.3235762359529382,1
672,18814.91781644864,93.83854726533184,0.668695805913467,87.33810973684201,13,0.061721510257856,0,0.4022032306101183,1
219,11028.144068551092,86.70017139915392,3.860247207578279,99.75647952927127,16,0.0683340753281723,4,0.2179822846890725,1
616,7524.178827615692,96.97535170562628,4.494150458234863,92.62347922063074,6,0.0097367236741919,3,0.208144172967249,1
126,11596.107297618628,86.56510178554674,4.735665788799414,83.82010402291232,1,0.0017050546064178,5,0.4681937713489142,1
987,16123.491627002444,86.4187087663888,0.6340135429441442,87.46866638419394,17,0.0729853246954115,7,0.4984783649499316,1
801,10433.531624784326,88.69061926608991,2.99787170646943,91.29766540800772,19,0.0181381047700379,4,0.2733001695090699,1
165,14027.10100918171,92.18935526733245,0.7547673791062554,78.0287194212859,16,0.0263713258425602,9,0.2758468279678996,1
239,5124.799133407881,89.21424342696551,1.0031016705527172,89.86987090050377,18,0.012440336245523,3,0.3431575715933171,1
832,11505.4149698057,83.05886372950852,0.5829539436533387,85.3372812512784,0,0.0689401491236252,1,0.130888068308909,0
197,17933.044604872834,86.32937568122998,1.0009144466489757,84.54825927398306,7,0.0953845963405191,8,0.2829059700936694,0
131,15419.614383405917,86.16704243352397,3.9065534048631214,74.48595133920948,18,0.0287867328422507,5,0.3441236473872702,1
438,16253.986459082636,90.06145200543219,2.6141093406395584,63.729796768854335,23,0.0102203211730515,0,0.1336506016093593,1
824,17371.148560205114,88.8120622811835,3.455252179055288,66.06442551721904,11,0.0401686070565768,6,0.4310653369938124,1
593,13257.975208943384,84.94412147477753,2.386400032718305,84.4532301321141,20,0.0624196172464103,3,0.328184583390574,1
285,9142.543367313492,94.72070800852131,1.1745243289767116,97.36621375172024,17,0.0883182997365831,9,0.24403814296853,1
727,10706.300112613437,90.20920262692884,3.009941415941278,67.57390894519435,23,0.0229536423454268,1,0.473080326667132,1
762,11325.689262888744,89.2523854386746,2.6675704510483644,87.14168119163035,16,0.0657265852131331,3,0.4201856484855565,0
400,8132.4640324188495,91.20697348700648,1.8950983079724608,87.35059299111218,22,0.0966984292222488,8,0.4322169015613846,1
104,6143.588269603467,96.07386903754605,2.5898130784429068,91.66931571998612,17,0.0296440992275415,4,0.3023182497015262,1
910,13320.305371825509,94.6135802305678,3.0449251157884705,73.54977976974689,20,0.0296953568103072,2,0.158862052870478,1
471,15868.974302714434,84.0112931917614,0.9750903899875852,83.02308502793682,10,0.0801956494730697,9,0.2448796563479057,0
788,16267.65705431064,96.55849909090624,3.846815667286005,78.42036639632715,10,0.0330046877126013,5,0.1749092353415928,1
930,15714.899536024965,95.65491348502772,4.036019676771895,94.4731252329841,14,0.0698858599905445,2,0.1810828318167367,1
747,13167.234992003943,82.99818506494279,1.1627321382424702,81.28939390706792,8,0.0200097619118825,1,0.1914356357185261,0
784,13353.176647581438,82.53745656126186,3.565276476977772,88.46051601247274,10,0.0355014881973239,1,0.4905833931917608,1
878,8725.754131148113,88.27331047166413,1.5824078893217617,78.87068604599294,21,0.0891736697925095,5,0.306389038508394,1
435,6058.034563894348,85.36552040907114,3.460002832571804,89.57645821826766,21,0.0367058688350969,5,0.2169368511135443,1
183,10348.942639793084,90.7315638005724,4.065128150738082,74.16019772724971,2,0.0756814173033291,5,0.1581068991708511,1
920,15109.913122185955,99.7855989021277,4.066257568376597,66.30544143331922,8,0.0986923576052338,3,0.1740067773175166,1
195,13804.047598383606,82.60635976182581,1.1167685759146158,83.45071372773072,14,0.0324063690744944,6,0.2789686289262875,1
321,5584.689809916956,91.11741628397918,1.9841711398536248,93.31990968957672,4,0.0071641665371536,9,0.1053870289685798,0
402,15517.547923853896,98.9571313450732,2.0430144110704087,64.9638750443873,17,0.0184310380019505,0,0.4690774053771732,1
239,9074.497719115545,98.57015503887555,3.079075654726541,99.32649159645634,19,0.0241220075227887,8,0.3849299575705027,1
738,5023.476577872094,94.50652781471756,3.4723958694641874,64.06226413716715,10,0.0741243517472301,7,0.171328698502899,1
152,15494.593544331825,96.474889238246,3.932849650533672,93.68155134422084,7,0.0930136079511959,6,0.2467852167881846,1
705,19201.00593385093,94.47069146662176,1.816757273405594,89.64428166518724,13,0.0295888494206687,0,0.1645956421159091,1
484,18991.294085904698,90.97865048998676,4.669252785698996,91.395655786554,23,0.0308627989851168,7,0.3377928995304161,1
223,6997.731885012851,84.17303826316862,2.9194180879445564,83.27748855976134,22,0.0576986599378375,3,0.3157021441160609,1
476,19521.145721761,92.0337321724093,4.223664318906527,76.28985669048282,11,0.0681507022943471,5,0.3266377080952775,1
433,10089.579009643512,86.73695402894306,2.7492001598686504,77.58569282099387,4,0.0892283372015187,4,0.135460336197649,0
392,8186.709157932095,86.0641638751935,4.8698260638251885,67.80775257103701,4,0.0625828143277737,4,0.1345219533844441,1
819,16370.606315168248,88.63016239695284,1.5661753768003202,63.28806357927735,6,0.0565271207147232,5,0.3152059242746267,1
439,18058.676375690105,89.05649610568653,1.5113751717981088,60.36822669562572,7,0.0906691005517175,9,0.2350151782525495,1
430,13133.558082377724,92.61540840345242,3.0319435385208915,91.62638104182444,6,0.0472266046798978,2,0.1100084511147831,1
247,9917.642568287274,95.85406811561504,3.9776202178778326,71.42171751478134,15,0.0158996235449434,1,0.3287825890991861,0
148,9152.214616869587,80.6875371670345,1.501344698798509,71.84617873055431,15,0.0304364394667027,9,0.2425167548779797,1
461,11877.77843280523,94.54262393763857,3.4928484799929262,90.13798840968424,9,0.0004335108609341,9,0.2504839049518884,1
121,8472.128206479472,96.25465808609358,1.1092036820499551,78.33870440582895,19,0.0691743039628736,2,0.2078277727077372,1
625,5171.2697518111045,87.33102374758452,4.937811402239128,92.75331596856472,11,0.092504427120302,0,0.2231995848376408,1
843,17179.193519568253,80.89536777376973,2.91393295654261,90.34220913867163,19,0.0098376977729081,9,0.2006040157035957,1
542,13492.710368376063,88.35937016027773,0.6078262330592141,90.292223813395,6,0.049317964874152,9,0.2969587061167195,0
208,5002.020395067279,97.47068528490428,1.4201002408890897,74.46361065681239,2,0.0385480313203326,0,0.4381648833179402,1
971,16281.714990454622,81.1426543868666,4.547027340582813,67.27765606993735,9,0.0797039340864529,8,0.4951557867934907,1
905,18001.555317590006,87.05058482601035,0.8126599319758936,76.20728415203844,19,0.0802022577956785,9,0.4469954181461286,1
325,12973.582290300968,86.71218488481803,3.4470738595302395,86.6702424522951,5,0.0519660696531189,3,0.2410445975497734,1
111,11638.660188992231,93.43558540509731,2.159048407321152,68.01441216013801,6,0.0992339480927987,5,0.4512618862242418,1
387,11565.75237400312,92.35389172377182,0.8810141642388023,96.46732017318944,18,0.0304655146895482,2,0.3116421768608637,0
809,17464.237565826028,92.43014622276168,1.1770184784794733,79.595765685233,1,0.0345878849974394,5,0.4941944230450815,1
249,15387.39240003838,96.42518840745691,4.753353925071529,68.15545901842096,14,0.0057459557224906,6,0.348544134443263,1
142,11587.247249506225,99.59910894716558,4.294995597013719,82.18322686142497,23,0.0960682654038093,3,0.1512225990347191,1
440,19907.725833495475,85.89634476693534,3.3540259946612667,94.2633777690983,11,0.0769854943398913,0,0.2913178621931641,1
524,7532.876950555925,88.00310545730798,1.3395106048802703,66.2216036600195,10,0.027769146735935,3,0.3554307280462779,1
